index,smiles,molar_mass,flash_point/K,Tm/K,Tb/K,Tc/K,Pc/bar,Vc/(cm3/mol),density/(g/cm3),delta_G/(KJ/mol),delta_Hf/(KJ/mol),delta_Hvap/(KJ/mol),delta_Hfus/(KJ/mol),molar_volume/(cm3/mol)(default298K),delta_Hc/(KJ/mol),mass_calorific_value_h/(MJ/kg),ISP,note
302,Cc1ccncc1,93.12899999999996,330.156,255.647,415.629,646.15,46.5184,325.67,0.98,182.049,100.621,44.795,48.551,0.095,,,,Cc1ccncc1 at 298K
303,Cc1cccnc1C,107.15599999999995,342.471,283.793,417.428,655.5,42.1082,357.13,0.765,185.159,39.07,47.721,13.552,0.14,,,,Cc1cccnc1C at 298K
304,Cc1ccnc(C)c1,107.15599999999995,342.471,347.478,419.779,647.001,39.4585,357.13,0.765,185.159,35.691,47.471,13.552,0.14,,,,Cc1ccnc(C)c1 at 298K
305,Cc1ccc(C)nc1,107.15599999999995,342.471,294.324,414.375,644.301,38.4873,357.13,0.765,185.159,41.11,47.811,13.552,0.14,,,,Cc1ccc(C)nc1 at 298K
306,Cc1cccc(C)n1,107.15599999999995,342.471,285.344,416.675,623.751,37.7823,373.96,0.765,168.209,31.533,45.351,9.146,0.14,,,,Cc1cccc(C)n1 at 298K
307,Cc1ccncc1C,107.15599999999995,342.471,266.449,452.176,683.693,41.9451,357.13,0.94,185.159,68.692,50.521,13.766,0.114,,,,Cc1ccncc1C at 298K
308,Cc1cncc(C)c1,107.15599999999995,342.471,266.481,436.781,667.698,42.1082,373.96,0.94,185.159,71.189,49.471,13.766,0.114,,,,Cc1cncc(C)c1 at 298K
309,Cc1ccc(C)c(C)n1,121.18299999999994,367.142,294.457,431.336,674.869,36.8274,428.61,0.762,181.233,9.049,51.412,15.202,0.159,,,,Cc1ccc(C)c(C)n1 at 298K
310,O=C(O)CCCC(=O)O,132.115,400.912,400.602,538.074,785.862,35.4406,384.15,1.308,-744.187,-900.198,57.248,18.414,0.101,,,,O=C(O)CCCC(=O)O at 298K
311,NCCCC(=O)O,103.12099999999994,347.89,348.862,478.322,694.474,42.1628,339.21,1.074,-316.69,-467.854,50.341,22.309,0.096,,,,NCCCC(=O)O at 298K
